Name;Platform;Year;Genre;Sales_NA;Sales_EU;Sales_JP;Sales_Others
Adventure Time: Finn & Jake Investigations;PS3;2015;Action;20;70;0;20
Adventure Time: Finn & Jake Investigations;3DS;2015;Action;20;50;0;10
Adventure Time: Finn & Jake Investigations;WiiU;2015;Action;30;20;0;0
Adventure Time: Finn & Jake Investigations;XOne;2015;Action;20;20;0;0
Adventure Time: Finn & Jake Investigations;X360;2015;Action;20;60;0;10
Adventure Time: Finn & Jake Investigations;PS4;2015;Action;30;40;0;10
Adventure Time: The Secret of the Nameless;3DS;2014;Adventure;10;0;0;0
Adventure Time: The Secret of the Nameless;X360;2014;Adventure;10;0;0;0
Adventure Time: The Secret of the Nameless Kingdom;3DS;2014;Action;0;70;0;0
Adventure Time: The Secret of the Nameless Kingdom;X360;2014;Action;0;80;0;10
Adventures of Lolo;NES;1989;Puzzle;60;0;0;0
Adventures of Tron;2600;1981;Action;630;30;0;10
Adventures to Go!;PSP;2008;Role-Playing;100;0;10;10
Aedis Eclipse: Generation of Chaos;PSP;2006;Role-Playing;20;0;0;0
Aegis of Earth: Protonovus Assault;PS3;2016;Action;10;10;0;0
Aegis of Earth: Protonovus Assault;PS4;2016;Action;20;0;0;0
Aegis of Earth: Protonovus Assault;PSV;2016;Action;20;10;0;10
Aeon Flux;PS2;2005;Action;20;20;0;10
Aeon Flux;XB;2005;Action;10;0;0;0
Aero Elite: Combat Academy;PS2;2002;Simulation;40;30;0;10
Aero Gauge;N64;1997;Racing;60;10;0;0
AeroFighters Assault;N64;1997;Action;150;40;0;0
Afrika;PS3;2008;Adventure;120;0;80;10
Afro Samurai;X360;2009;Action;160;50;0;20
Afro Samurai;PS3;2009;Action;120;50;0;30
After Hours Athletes;PS3;2011;Sports;0;100;0;30
Again;DS;2009;Adventure;70;0;0;0
Agassi Tennis Generation;PS2;2003;Sports;40;30;0;10
Agatha Christie's The ABC Murders;PS4;2016;Adventure;10;10;0;0
Agatha Christie: And Then There Were None;Wii;2008;Adventure;60;10;0;10
Agatha Christie: Death on the Nile;PC;2008;Adventure;0;10;0;0
Agatha Christie: Evil Under the Sun;Wii;2008;Adventure;70;20;0;10
Agatha Christie: Peril at End House;PC;2009;Adventure;0;10;0;0
Agatha Christie: The ABC Murders;PC;2016;Adventure;0;20;0;0
Agatha Christie: The ABC Murders;DS;2009;Adventure;80;10;0;10
Age of Conan: Rise of the Godslayer;PC;2010;Role-Playing;0;20;0;0
Age of Empires II: The Age of Kings;PC;1999;Strategy;10;80;0;20
Age of Empires III;PC;2005;Strategy;0;320;0;70
Age of Empires III: Complete Collection;PC;2009;Strategy;10;120;0;30
Age of Empires III: Gold Edition;PC;2007;Strategy;0;20;0;10
Age of Empires III: The Asian Dynasties;PC;2007;Strategy;0;50;0;10
Age of Empires Online;PC;2011;Strategy;10;40;0;10
Age of Empires: Collector's Edition;PC;2000;Strategy;20;100;0;20
Age of Empires: Mythologies;DS;2008;Strategy;170;30;0;20
Age of Empires: The Age of Kings;DS;2006;Strategy;190;20;0;20
Age of Mythology;PC;2002;Strategy;20;60;0;10
Age of Mythology: The Titans;PC;2003;Strategy;10;20;0;0
Aggressive Inline;PS2;2002;Sports;170;130;0;40
Aggressive Inline;XB;2002;Sports;50;10;0;0
Aggressive Inline;GC;2002;Sports;40;10;0;0
Agile Warrior F-111X;PS;1995;Simulation;80;50;0;10
Aibou DS;DS;2009;Adventure;0;0;80;0
Aidyn Chronicles: The First Mage;N64;2001;Role-Playing;80;20;0;0
Aikatsu! 2-nin no My Princess;3DS;2013;Action;0;0;260;0
Aikatsu! 365 Idol Days;3DS;2014;Adventure;0;0;130;0
Aikatsu! Cinderella Lesson;3DS;2012;Role-Playing;0;0;200;0
Aikatsu! My No.1 Stage!;3DS;2015;Misc;0;0;70;0
Ailu de Puzzle;PSP;2012;Action;0;0;40;0
Air Combat;PS;1995;Simulation;920;330;520;50
Air Conflicts: Aces of World War II;PSP;2009;Simulation;50;0;0;0
Air Conflicts: Secret Wars;PS3;2011;Simulation;100;60;0;30
Air Conflicts: Secret Wars;PC;2011;Simulation;0;20;0;10
Air Conflicts: Secret Wars;X360;2011;Simulation;60;20;0;10
Air Raid;2600;1981;Action;720;40;0;10
Air Traffic Chaos;DS;2007;Simulation;50;0;0;0
AirForce Delta Storm;XB;2001;Shooter;140;40;0;10
AirForce Delta Storm;GBA;2002;Shooter;20;10;0;0
AirForce Delta Strike;PS2;2004;Simulation;50;40;0;10
Airblade;PS2;2001;Sports;110;90;0;30
Airborne Troops: Countdown to D-Day;PS2;2005;Shooter;60;50;0;20
Airline Tycoon;PC;2000;Simulation;0;10;0;0
Airline Tycoon 2;PC;2011;Simulation;0;40;0;10
Airlock;2600;1981;Action;360;20;0;0
Airport Simulator;PC;2011;Simulation;0;20;0;0
Airship Q;PSV;2015;Platform;0;0;30;0
Akagawa Jirou Mystery: Yasoukyoku - Hon ni Manekareta Satsujin;DS;2008;Adventure;0;0;60;0
Akai Ito DS;DS;2008;Adventure;0;0;20;0
Akai Katana Shin;X360;2011;Shooter;40;0;10;0
Akane Iro ni Somaru Saka Parallel;PS2;2008;Adventure;0;0;30;0
Akatsuki no Amaneka to Aoi Kyojin;PSP;2010;Strategy;0;0;10;0
Akatsuki no Goei Trinity;PSP;2012;Adventure;0;0;10;0
Akatsuki no Goei Trinity;PS3;2012;Adventure;0;0;10;0
Akiba's Trip;PSP;2011;Adventure;0;0;140;0
Akiba's Trip Plus;PSP;2012;Adventure;0;0;80;0
Akiba's Trip: Undead & Undressed;PS3;2013;Action;50;10;40;10
Akiba's Trip: Undead & Undressed;PS4;2014;Action;80;0;10;20
Akiba's Trip: Undead & Undressed;PSV;2013;Action;90;20;80;30
Akko ni Omakase! Brain Shock;DS;2006;Misc;0;0;40;0
Akuji the Heartless;PS;1998;Platform;70;40;0;10
Aladdin Magic Racer;Wii;2011;Racing;10;0;0;0
Alan Wake;PC;2012;Action;0;60;0;10
Alan Wake;X360;2010;Action;660;510;50;130
Alexi Lalas International Soccer;PS;1998;Sports;40;30;0;0
Alfa Romeo Racing Italiano;PS2;2005;Racing;10;10;0;0
Alia's Carnival! Sacrament;PSV;2015;Adventure;0;0;30;0
Alias;XB;2004;Action;40;10;0;0
Alias;PS2;2004;Action;50;40;0;10
Alice in Wonderland;DS;2010;Adventure;270;180;0;50
Alice in Wonderland;Wii;2010;Adventure;270;210;0;50
Alice: Madness Returns;X360;2011;Adventure;270;150;40;40
Alice: Madness Returns;PC;2011;Adventure;0;100;0;20
Alice: Madness Returns;PS3;2011;Adventure;220;250;40;90
Alien;2600;1981;Action;740;40;0;10
Alien Breed Trilogy;X360;2011;Shooter;0;20;0;0
Alien Hominid;GC;2004;Shooter;70;20;0;0
Alien Hominid;PS2;2004;Shooter;50;40;0;10
Alien Monster Bowling League;Wii;2009;Sports;90;0;0;10
Alien Resurrection;PS;2000;Shooter;90;60;0;10
Alien Syndrome;PSP;2007;Role-Playing;70;0;0;10
Alien Syndrome;Wii;2007;Role-Playing;60;0;0;0
Alien Trilogy;PS;1996;Shooter;240;160;40;30
Alien's Return;2600;1982;Action;320;20;0;0
Alien: Isolation;PS3;2014;Shooter;120;190;0;70
Alien: Isolation;X360;2014;Shooter;150;130;0;30
Alien: Isolation;XOne;2014;Shooter;220;240;0;40
Alien: Isolation;PC;2014;Shooter;0;130;0;10
Alien: Isolation;PS4;2014;Shooter;340;560;40;190
Alienators: Evolution Continues;GBA;2001;Action;30;10;0;0
Aliens in the Attic;Wii;2009;Action;70;0;0;10
Aliens in the Attic;DS;2009;Action;50;0;0;0
Aliens versus Predator: Extinction;XB;2003;Strategy;60;20;0;0
Aliens versus Predator: Extinction;PS2;2003;Strategy;90;70;0;20
Aliens vs Predator;X360;2010;Shooter;550;400;0;110
Aliens vs Predator;PS3;2010;Shooter;410;470;0;180
Aliens vs Predator;PC;2010;Shooter;0;170;0;20
Aliens vs Predator: Requiem;PSP;2007;Action;30;120;0;70
Aliens: Colonial Marines;X360;2013;Shooter;360;370;0;70
Aliens: Colonial Marines;PC;2013;Shooter;100;60;0;20
Aliens: Colonial Marines;PS3;2013;Shooter;200;310;0;130
Aliens: Infestation;DS;2011;Action;100;60;0;20
All Grown Up! Express Yourself;GBA;2004;Misc;130;50;0;0
All Grown Up!: Game Boy Advance Video Volume 1;GBA;2004;Misc;170;60;0;0
All Japan Pro Wrestling featuring Virtua;SAT;1997;Fighting;0;0;150;0
All Kamen Rider: Rider Generation;DS;2011;Action;0;0;120;0
All Kamen Rider: Rider Generation 2;DS;2012;Action;0;0;100;0
All Kamen Rider: Rider Generation 2;PSP;2012;Action;0;0;60;0
All Points Bulletin;PC;2010;Role-Playing;0;30;0;10
All Star Cheer Squad;DS;2008;Sports;260;0;0;20
All Star Cheer Squad;Wii;2008;Sports;430;290;0;80
All Star Cheer Squad 2;Wii;2009;Sports;120;0;0;10
All Star Karate;Wii;2010;Action;140;70;0;20
All Star Pro-Wrestling;PS2;2000;Fighting;0;0;200;0
All Star Tennis 99;N64;1999;Sports;40;10;0;0
All-Pro Football 2K8;X360;2007;Sports;240;0;0;20
All-Pro Football 2K8;PS3;2007;Sports;140;0;0;10
All-Star Baseball 2000;N64;1999;Sports;360;30;0;0
All-Star Baseball 2001;N64;2000;Sports;220;10;0;0
All-Star Baseball 2002;GC;2001;Sports;170;40;0;10
All-Star Baseball 2002;PS2;2001;Sports;270;210;0;70
All-Star Baseball 2003;XB;2002;Sports;190;60;0;10
All-Star Baseball 2003;GC;2002;Sports;120;30;0;0
All-Star Baseball 2003;PS2;2002;Sports;380;290;0;100
All-Star Baseball 2003;GBA;2002;Sports;110;40;0;0
All-Star Baseball 2004;XB;2003;Sports;100;30;0;0
All-Star Baseball 2004;PS2;2003;Sports;210;160;0;50
All-Star Baseball 2004;GBA;2003;Sports;50;20;0;0
All-Star Baseball 2004;GC;2003;Sports;60;20;0;0
All-Star Baseball 99;N64;1998;Sports;440;40;0;0
Alleyway;GB;1989;Puzzle;960;380;550;50
Allied General;PS;1996;Strategy;110;70;0;10
Alone in the Dark;PS2;2008;Adventure;30;20;0;10
Alone in the Dark;Wii;2008;Adventure;90;80;0;20
Alone in the Dark;X360;2008;Adventure;140;300;0;50
Alone in the Dark;PC;2008;Adventure;0;10;0;0
Alone in the Dark: Inferno;PS3;2008;Adventure;90;30;0;20
Alone in the Dark: One-Eyed Jack's Revenge;PS;1996;Adventure;170;120;0;20
Alpha Protocol;PS3;2010;Role-Playing;190;180;0;70
Alpha Protocol;PC;2010;Role-Playing;0;30;0;10
Alpha Protocol;X360;2010;Role-Playing;230;130;0;40
Alpha and Omega;DS;2010;Action;60;0;0;0
Alter Echo;PS2;2003;Shooter;60;50;0;20
Alter Echo;XB;2003;Shooter;40;10;0;0
Alter Ego;PC;1985;Simulation;0;30;0;10
Altered Beast: Guardian of the Realms;GBA;2002;Action;70;20;0;0
Alundra;PS;1997;Role-Playing;130;90;0;10
Alundra 2: A New Legend Begins;PS;1999;Role-Playing;150;100;0;20
Alvin and the Chipmunks;Wii;2007;Misc;50;0;0;0
Alvin and the Chipmunks;DS;2007;Misc;120;0;0;10
Alvin and the Chipmunks;PS2;2007;Misc;40;30;0;10
Alvin and the Chipmunks: Chipwrecked;DS;2011;Misc;70;30;0;10
Alvin and the Chipmunks: Chipwrecked;X360;2011;Misc;80;10;0;10
Alvin and the Chipmunks: Chipwrecked;Wii;2011;Misc;80;10;0;10
Alvin and the Chipmunks: The Squeakquel;Wii;2009;Misc;90;0;0;10
Alvin and the Chipmunks: The Squeakquel;DS;2009;Misc;280;0;0;20
Amagami;PSV;2014;Adventure;0;0;40;0
Amagami;PS2;2009;Adventure;0;0;130;0
Amagami;PSP;2011;Adventure;0;0;150;0
Amagoushi no Yakata;PS2;2007;Adventure;0;0;20;0
Amatsumi Sora ni! Kumo no Hatate ni;PSV;2015;Adventure;0;0;20;0
Amazing Adventures: The Forgotten Ruins;DS;2008;Adventure;130;80;0;20
Amazing Island;GC;2004;Strategy;40;10;0;0
America Oudan Ultra-Quiz;SAT;1995;Misc;0;0;20;0
America's Army: Rise of a Soldier;XB;2005;Shooter;190;50;0;10
America's Army: True Soldiers;X360;2007;Shooter;80;0;0;10
America's Next Top Model;Wii;2010;Action;80;0;0;10
America's Next Top Model;DS;2008;Action;100;0;0;10
America's Test Kitchen: Let's Get Cooking;DS;2010;Simulation;250;0;0;20
American Bass Challenge;GBA;2001;Sports;30;10;0;0
American Chopper;PS2;2004;Racing;350;10;0;60
American Chopper;XB;2004;Racing;110;30;0;10
American Chopper 2: Full Throttle;PS2;2005;Racing;90;70;0;20
American Chopper 2: Full Throttle;XB;2005;Racing;40;10;0;0
American Chopper 2: Full Throttle;GC;2005;Racing;40;10;0;0
American Girl: Julie Finds a Way;DS;2007;Adventure;100;0;0;10
American Girl: Kit Mystery Challenge!;DS;2008;Adventure;420;0;0;30
American Idol;GBA;2003;Misc;150;60;0;0
American Idol;PS2;2003;Misc;270;210;0;70
