index;Name;Platform;Year;Genre;Sales_NA;Sales_EU;Sales_JP;Sales_Others;Global_Sales
209;Advance Guardian Heroes;GBA;2004;Role-Playing;0.03;0.01;0.0;0.0;0.04
210;Advance Wars;GBA;2001;Strategy;0.5;0.19;0.0;0.01;0.7
211;Advance Wars 2: Black Hole Rising;GBA;2003;Strategy;0.47;0.17;0.0;0.01;0.65
212;Advance Wars: Dual Strike;DS;2005;Strategy;0.3;0.03;0.04;0.03;0.4
213;Advent Rising;XB;2005;Action;0.1;0.03;0.0;0.0;0.13
214;Adventure Island;NES;1986;Platform;0.0;0.0;1.05;0.0;1.05
215;Adventure Time: Explore the Dungeon Because I Don't Know!;PS3;2013;Action;0.02;0.02;0.0;0.01;0.05
216;Adventure Time: Explore the Dungeon Because I Don't Know!;3DS;2013;Action;0.1;0.03;0.0;0.01;0.14
217;Adventure Time: Explore the Dungeon Because I Don't Know!;X360;2013;Action;0.03;0.04;0.0;0.01;0.08
218;Adventure Time: Explore the Dungeon Because I Don't Know!;WiiU;2013;Action;0.02;0.01;0.0;0.0;0.03
219;Adventure Time: Finn & Jake Investigations;PS3;2015;Action;0.02;0.07;0.0;0.02;0.11
220;Adventure Time: Finn & Jake Investigations;3DS;2015;Action;0.02;0.05;0.0;0.01;0.08
221;Adventure Time: Finn & Jake Investigations;WiiU;2015;Action;0.03;0.02;0.0;0.0;0.05
222;Adventure Time: Finn & Jake Investigations;XOne;2015;Action;0.02;0.02;0.0;0.0;0.04
223;Adventure Time: Finn & Jake Investigations;X360;2015;Action;0.02;0.06;0.0;0.01;0.09
224;Adventure Time: Finn & Jake Investigations;PS4;2015;Action;0.03;0.04;0.0;0.01;0.08
225;Adventure Time: The Secret of the Nameless;3DS;2014;Adventure;0.01;0.0;0.0;0.0;0.01
226;Adventure Time: The Secret of the Nameless;X360;2014;Adventure;0.01;0.0;0.0;0.0;0.01
227;Adventure Time: The Secret of the Nameless Kingdom;3DS;2014;Action;0.0;0.07;0.0;0.0;0.07
228;Adventure Time: The Secret of the Nameless Kingdom;X360;2014;Action;0.0;0.08;0.0;0.01;0.09
229;Adventures of Lolo;NES;1989;Puzzle;0.06;0.0;0.0;0.0;0.06
230;Adventures of Tron;2600;1981;Action;0.63;0.03;0.0;0.01;0.67
231;Adventures to Go!;PSP;2008;Role-Playing;0.1;0.0;0.01;0.01;0.12
232;Aedis Eclipse: Generation of Chaos;PSP;2006;Role-Playing;0.02;0.0;0.0;0.0;0.02
233;Aegis of Earth: Protonovus Assault;PS3;2016;Action;0.01;0.01;0.0;0.0;0.02
234;Aegis of Earth: Protonovus Assault;PS4;2016;Action;0.02;0.0;0.0;0.0;0.02
235;Aegis of Earth: Protonovus Assault;PSV;2016;Action;0.02;0.01;0.0;0.01;0.04
236;Aeon Flux;PS2;2005;Action;0.02;0.02;0.0;0.01;0.05
237;Aeon Flux;XB;2005;Action;0.01;0.0;0.0;0.0;0.01
238;Aero Elite: Combat Academy;PS2;2002;Simulation;0.04;0.03;0.0;0.01;0.08
239;Aero Gauge;N64;1997;Racing;0.06;0.01;0.0;0.0;0.07
240;AeroFighters Assault;N64;1997;Action;0.15;0.04;0.0;0.0;0.19
241;Afrika;PS3;2008;Adventure;0.12;0.0;0.08;0.01;0.21
242;Afro Samurai;X360;2009;Action;0.16;0.05;0.0;0.02;0.23
243;Afro Samurai;PS3;2009;Action;0.12;0.05;0.0;0.03;0.2
244;After Hours Athletes;PS3;2011;Sports;0.0;0.1;0.0;0.03;0.13
245;Again;DS;2009;Adventure;0.07;0.0;0.0;0.0;0.07
246;Agassi Tennis Generation;PS2;2003;Sports;0.04;0.03;0.0;0.01;0.08
247;Agatha Christie's The ABC Murders;PS4;2016;Adventure;0.01;0.01;0.0;0.0;0.02
248;Agatha Christie: And Then There Were None;Wii;2008;Adventure;0.06;0.01;0.0;0.01;0.08
249;Agatha Christie: Death on the Nile;PC;2008;Adventure;0.0;0.01;0.0;0.0;0.01
250;Agatha Christie: Evil Under the Sun;Wii;2008;Adventure;0.07;0.02;0.0;0.01;0.1
251;Agatha Christie: Peril at End House;PC;2009;Adventure;0.0;0.01;0.0;0.0;0.01
252;Agatha Christie: The ABC Murders;PC;2016;Adventure;0.0;0.02;0.0;0.0;0.02
253;Agatha Christie: The ABC Murders;DS;2009;Adventure;0.08;0.01;0.0;0.01;0.1
254;Age of Conan: Rise of the Godslayer;PC;2010;Role-Playing;0.0;0.02;0.0;0.0;0.02
255;Age of Empires II: The Age of Kings;PC;1999;Strategy;0.01;0.08;0.0;0.02;0.11
256;Age of Empires III;PC;2005;Strategy;0.0;0.32;0.0;0.07;0.39
257;Age of Empires III: Complete Collection;PC;2009;Strategy;0.01;0.12;0.0;0.03;0.16
258;Age of Empires III: Gold Edition;PC;2007;Strategy;0.0;0.02;0.0;0.01;0.03
259;Age of Empires III: The Asian Dynasties;PC;2007;Strategy;0.0;0.05;0.0;0.01;0.06
260;Age of Empires Online;PC;2011;Strategy;0.01;0.04;0.0;0.01;0.06
261;Age of Empires: Collector's Edition;PC;2000;Strategy;0.02;0.1;0.0;0.02;0.14
262;Age of Empires: Mythologies;DS;2008;Strategy;0.17;0.03;0.0;0.02;0.22
263;Age of Empires: The Age of Kings;DS;2006;Strategy;0.19;0.02;0.0;0.02;0.23
264;Age of Mythology;PC;2002;Strategy;0.02;0.06;0.0;0.01;0.09
265;Age of Mythology: The Titans;PC;2003;Strategy;0.01;0.02;0.0;0.0;0.03
266;Aggressive Inline;PS2;2002;Sports;0.17;0.13;0.0;0.04;0.34
267;Aggressive Inline;XB;2002;Sports;0.05;0.01;0.0;0.0;0.06
268;Aggressive Inline;GC;2002;Sports;0.04;0.01;0.0;0.0;0.05
269;Agile Warrior F-111X;PS;1995;Simulation;0.08;0.05;0.0;0.01;0.14
270;Aibou DS;DS;2009;Adventure;0.0;0.0;0.08;0.0;0.08
271;Aidyn Chronicles: The First Mage;N64;2001;Role-Playing;0.08;0.02;0.0;0.0;0.1
272;Aikatsu! 2-nin no My Princess;3DS;2013;Action;0.0;0.0;0.26;0.0;0.26
273;Aikatsu! 365 Idol Days;3DS;2014;Adventure;0.0;0.0;0.13;0.0;0.13
274;Aikatsu! Cinderella Lesson;3DS;2012;Role-Playing;0.0;0.0;0.2;0.0;0.2
275;Aikatsu! My No.1 Stage!;3DS;2015;Misc;0.0;0.0;0.07;0.0;0.07
276;Ailu de Puzzle;PSP;2012;Action;0.0;0.0;0.04;0.0;0.04
277;Air Combat;PS;1995;Simulation;0.92;0.33;0.52;0.05;1.82
278;Air Conflicts: Aces of World War II;PSP;2009;Simulation;0.05;0.0;0.0;0.0;0.05
279;Air Conflicts: Secret Wars;PS3;2011;Simulation;0.1;0.06;0.0;0.03;0.19
280;Air Conflicts: Secret Wars;PC;2011;Simulation;0.0;0.02;0.0;0.01;0.03
281;Air Conflicts: Secret Wars;X360;2011;Simulation;0.06;0.02;0.0;0.01;0.09
282;Air Raid;2600;1981;Action;0.72;0.04;0.0;0.01;0.77
283;Air Traffic Chaos;DS;2007;Simulation;0.05;0.0;0.0;0.0;0.05
284;AirForce Delta Storm;XB;2001;Shooter;0.14;0.04;0.0;0.01;0.19
285;AirForce Delta Storm;GBA;2002;Shooter;0.02;0.01;0.0;0.0;0.03
286;AirForce Delta Strike;PS2;2004;Simulation;0.05;0.04;0.0;0.01;0.1
287;Airblade;PS2;2001;Sports;0.11;0.09;0.0;0.03;0.23
288;Airborne Troops: Countdown to D-Day;PS2;2005;Shooter;0.06;0.05;0.0;0.02;0.13
289;Airline Tycoon;PC;2000;Simulation;0.0;0.01;0.0;0.0;0.01
290;Airline Tycoon 2;PC;2011;Simulation;0.0;0.04;0.0;0.01;0.05
291;Airlock;2600;1981;Action;0.36;0.02;0.0;0.0;0.38
292;Airport Simulator;PC;2011;Simulation;0.0;0.02;0.0;0.0;0.02
